BENJAMIN,41.2801,41.294
TRAVIS,41.2941,41.308
PICKETT,41.3081,41.323
CRANE,41.3231,41.337
SEARS,41.3371,41.351
MAYO,41.3511,41.365
DUNLAP,41.3651,41.379
HAYDEN,41.3791,41.394
WILDER,41.3941,41.408
MCKAY,41.4081,41.422
COFFEY,41.4221,41.436
MCCARTY,41.4361,41.45
EWING,41.4501,41.464
COOLEY,41.4641,41.478
VAUGHAN,41.4781,41.492
BONNER,41.4921,41.506
COTTON,41.5061,41.52
HOLDER,41.5201,41.534
STARK,41.5341,41.548
FERRELL,41.5481,41.562
CANTRELL,41.5621,41.575
FULTON,41.5751,41.589
LYNN,41.5891,41.603
LOTT,41.6031,41.617
CALDERON,41.6171,41.631
ROSA,41.6311,41.644
POLLARD,41.6441,41.658
HOOPER,41.6581,41.672
BURCH,41.6721,41.686
MULLEN,41.6861,41.7
FRY,41.7001,41.713
RIDDLE,41.7131,41.727
LEVY,41.7271,41.741
DAVID,41.7411,41.754
DUKE,41.7541,41.768
ODONNELL,41.7681,41.782
GUY,41.7821,41.795
MICHAEL,41.7951,41.809
BRITT,41.8091,41.823
FREDERICK,41.8231,41.836
DAUGHERTY,41.8361,41.85
BERGER,41.8501,41.864
DILLARD,41.8641,41.877
ALSTON,41.8771,41.891
JARVIS,41.8911,41.904
FRYE,41.9041,41.918
RIGGS,41.9181,41.932
CHANEY,41.9321,41.945
ODOM,41.9451,41.959
DUFFY,41.9591,41.972
FITZPATRICK,41.9721,41.986
VALENZUELA,41.9861,41.999
MERRILL,41.9991,42.012
MAYER,42.0121,42.026
ALFORD,42.0261,42.039
MCPHERSON,42.0391,42.053
ACEVEDO,42.0531,42.066
DONOVAN,42.0661,42.079
BARRERA,42.0791,42.093
ALBERT,42.0931,42.106
COTE,42.1061,42.119
REILLY,42.1191,42.133
COMPTON,42.1331,42.146
RAYMOND,42.1461,42.159
MOONEY,42.1591,42.173
MCGOWAN,42.1731,42.186
CRAFT,42.1861,42.199
CLEVELAND,42.1991,42.212
CLEMONS,42.2121,42.226
WYNN,42.2261,42.239
NIELSEN,42.2391,42.252
BAIRD,42.2521,42.265
STANTON,42.2651,42.278
SNIDER,42.2781,42.292
ROSALES,42.2921,42.305
BRIGHT,42.3051,42.318
WITT,42.3181,42.331
STUART,42.3311,42.344
HAYS,42.3441,42.357
HOLDEN,42.3571,42.371
RUTLEDGE,42.3711,42.384
KINNEY,42.3841,42.397
CLEMENTS,42.3971,42.41
CASTANEDA,42.4101,42.423
SLATER,42.4231,42.436
HAHN,42.4361,42.449
EMERSON,42.4491,42.462
CONRAD,42.4621,42.475
BURKS,42.4751,42.488
DELANEY,42.4881,42.501
PATE,42.5011,42.514
LANCASTER,42.5141,42.527
SWEET,42.5271,42.54
